"MovieName","Genre"
"Die Hard 2","Action"
"Dinner for Schmucks","Comedy"
"Dirty Dancing","Drama"
"Dirty Grandpa","Adventure"
"Dirty Harry","Action"
"The Dead Pool","Action"
"Magnum Force","Action"
"Sudden Impact","Action"
"The Enforcer","Action"
"Dirty Pretty Things","Crime"
"District 13: Ultimatum","Action"
"Divergent","Science Fiction"
"Dog Eat Dog","Drama"
"Don Jon","Comedy"
"Donnie Brasco","Crime"
"Don't Say a Word","Thriller"
"Doomsday","Action"
"Dope","Drama"
"Double Identity","Crime"
"Dracula Untold","Horror"
"Dragnet","Action"
"Dragon: The Bruce Lee Story","Drama"
"DragonHeart","Action"
"Dragonheart 3: The Sorcerer's Curse","Fantasy"
"Dredd","Action"
"Dumb and Dumber","Comedy"
"Dumb and Dumber To","Comedy"
"Dumb and Dumberer: When Harry Met Lloyd","Comedy"
"Dumbo","Animation"
"Dune","Action"
"Dying of the Light","Thriller"
"Eagle Eye","Mystery"
"Eddie Murphy: Raw","Comedy"
"Edge of Tomorrow","Action"
"Edward Scissorhands","Fantasy"
"Elf","Romance"
"Emperor","Drama"
"Empire State","Action"
"End Game","Action"
"Ender's Game","Science Fiction"
"Endgame","Drama"
"Enter the Dragon","Action"
"Entrapment","Thriller"
"Epic","Animation"
"Equals","Drama"
"Equilibrium","Drama"
"Equity","Drama"
"Escape Plan","Action"
"Evan Almighty","Fantasy"
"Exam","Thriller"
"Executive Decision","Action"
"Exit Wounds","Action"
"Exodus: Gods and Kings","Adventure"
"Experimenter","History"
"Extraction","Action"
"Eye in the Sky","Drama"
"Face/Off","Action"
"Fahrenheit 451","Science Fiction"
"Fail Safe","Drama"
"Fallen","Thriller"
"Falling Down","Crime"
"Fantastic Four","Action"
"Fast & Furious","Action"
"Fast Five","Action"
"Felony","Mystery"
"Fences","Drama"
"Fifty Shades of Grey","Romance"
"Fighting","Adventure"
"Find Me Guilty","Drama"
"Finding Dory","Animation"
"Fist of Fury","Drama"
"Five Corners","Drama"
"Five Thirteen","Drama"
"Flashbacks of a Fool","Drama"
"Flight","Drama"
"Flubber","Comedy"
"Focus","Romance"
"Forest Warrior","Action"
"Forgetting Sarah Marshall","Comedy"
"Forrest Gump","Comedy"
"Four Assassins","Thriller"
"Four Christmases","Comedy"
"Free to Play","Documentary"
"Free Willy","Family"
"Freelancers","Mystery"
"From Hell","Horror"
"Frozen","Animation"
"Fugitive at 17","TV Movie"
"Fun with Dick and Jane","Action"
"Furious 7","Action"
"Fury","War"
"Gallowwalkers","Action"
"George Carlin: Life Is Worth Losing","Comedy"
"Get Carter","Action"
"Getaway","Action"
"Ghostbusters","Fantasy"
"Ghostbusters","Action"
"Ghostbusters II","Fantasy"
"Glengarry Glen Ross","Crime"
"Gnomeo & Juliet","Animation"
"Gods of Egypt","Action"
"Godzilla","Thriller"
"Going the Distance","Comedy"
"Gone Girl","Mystery"
"Gone In Sixty Seconds","Action"
"Good Luck Charlie It's Christmas!","Comedy"
"Good Morning Vietnam","Comedy"
"Good People","Thriller"
"Goodbye to All That","Comedy"
"Goodfellas","Drama"
"Gravity","Science Fiction"
"Grease","Music"
"Green Street Hooligans","Drama"
"Grown Ups 2","Comedy"
"Grudge Match","Comedy"
"Grumpy Cat's Worst Christmas Ever","Comedy"
"Guardians of the Galaxy","Science Fiction"
"Gutshot Straight","Thriller"
"Hackers","Action"
"Hacksaw Ridge","Drama"
"Hall Pass","Comedy"
"Hansel & Gretel: Witch Hunters","Fantasy"
"Happy Gilmore","Comedy"
"Hard Target","Action"
"Hard Target 2","Action"
"Harry Potter and the Chamber of Secrets","Adventure"
"Harry Potter and the Deathly Hallows: Part 2","Adventure"
"Harry Potter and the Goblet of Fire","Adventure"
"Harry Potter and the Half-Blood Prince","Adventure"
"Harry Potter and the Order of the Phoenix","Adventure"
"Harry Potter and the Philosopher's Stone","Adventure"
"Hart's War","Drama"
"He Got Game","Drama"
"He Never Died","Thriller"
"Heat","Action"
"Heist","Action"
"Henry's Crime","Action"
"Here Comes the Boom","Action"
"Hero and the Terror","Drama"
"Hickey & Boggs","Crime"
"Hitler: The Rise of Evil","Drama"
"Hitman","Action"
"Hitman: Agent 47","Action"
"Hocus Pocus","Comedy"
"Hollow Man","Action"
"Hollow Man II","Horror"
"Home Alone","Comedy"
"Home Alone 2: Lost In New York","Comedy"
"Home Alone 3","Comedy"
"Home Alone 4","Crime"
"Home Alone: The Holiday Heist","Comedy"
"Hoodlum","Crime"
"Hook","Adventure"
"Hop","Animation"
"Horrible Bosses 2","Comedy"
"Hot Pursuit","Action"
"Hotel Transylvania","Animation"
"Hotel Transylvania 2","Comedy"
"House of 1 000 Dolls","Crime"
